CUST_CODE,PROD_CODE,PROD,OPEN_DATE,BRANCH,GEO_LOC,PROVINCE,GENDER,LAST_TRANS_DATE,CURR_17,BAL_AFN_17,CURR_14,BAL_AFN_14,BAL_DIFF
1,21,Demand,10/27/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,68.42,AFN,68.42,0
27,21,Demand,10/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/13/2017,AFN,33,AFN,33,0
416,21,Demand,12/8/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,39,AFN,39,0
1675,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/11/2017,AFN,50,AFN,50,0
2390,21,Demand,10/21/2014,Khairkhana; Kabul,Urban,Kabul,F,6/21/2017,AFN,27.34,AFN, -   ,27.34
2467,21,Demand,12/10/2014,Khairkhana; Kabul,Urban,Kabul,M,4/9/2017,AFN, -   ,AFN, -   ,0
2648,21,Demand,10/12/2014,Khairkhana; Kabul,Urban,Kabul,M,3/14/2017,AFN,60.09,AFN,60.09,0
3084,21,Demand,9/17/2014,Khairkhana; Kabul,Urban,Kabul,M,6/5/2017,AFN,12,AFN, -   ,12
3245,21,Demand,11/23/2014,Khairkhana; Kabul,Urban,Kabul,M,4/8/2017,AFN,20,EUR, -   ,20
4023,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,3.95,AFN,3.95,0
4086,21,Demand,12/4/2014,Khairkhana; Kabul,Urban,Kabul,M,6/24/2017,AFN,4.77,AFN,4.77,0
4207,21,Demand,12/17/2014,Khairkhana; Kabul,Urban,Kabul,M,6/13/2017,AFN,14.44,AFN,14.44,0
4267,21,Demand,10/22/2014,Khairkhana; Kabul,Urban,Kabul,F,6/1/2017,AFN,2.48,AFN,2.48,0
4353,21,Demand,10/22/2014,Khairkhana; Kabul,Urban,Kabul,M,5/14/2017,AFN, -   ,AFN,3,-3
5134,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/21/2017,AFN, -   ,AFN, -   ,0
5505,21,Demand,10/21/2014,Khairkhana; Kabul,Urban,Kabul,M,6/8/2017,AFN,3.72,AFN,3.72,0
5671,21,Demand,10/29/2014,Khairkhana; Kabul,Urban,Kabul,M,6/18/2017,AFN,215,AFN,215,0
6378,21,Demand,11/22/2014,Khairkhana; Kabul,Urban,Kabul,F,5/2/2017,AFN,18.04,AFN,18.04,0
7090,21,Demand,12/11/2014,Khairkhana; Kabul,Urban,Kabul,M,6/21/2017,AFN,57.58,AFN,57.58,0
7125,21,Demand,10/28/2014,Khairkhana; Kabul,Urban,Kabul,F,6/8/2017,AFN,0.2,AFN,0.2,0
7193,21,Demand,9/14/2014,Khairkhana; Kabul,Urban,Kabul,M,4/17/2017,AFN, -   ,AFN, -   ,0
7283,21,Demand,12/28/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,8.8,AFN,8.8,0
7496,21,Demand,11/1/2014,Khairkhana; Kabul,Urban,Kabul,M,6/8/2017,AFN,2.5,AFN,50.9,-48.4
7670,21,Demand,11/9/2014,Khairkhana; Kabul,Urban,Kabul,M,6/11/2017,AFN,8,AFN,8,0
8400,21,Demand,9/15/2014,Khairkhana; Kabul,Urban,Kabul,M,6/7/2017,AFN,5.43,AFN,5.43,0
8589,21,Demand,10/23/2014,Khairkhana; Kabul,Urban,Kabul,M,2/9/2017,AFN,18.07,AFN,18.07,0
8860,21,Demand,11/10/2014,Khairkhana; Kabul,Urban,Kabul,M,4/30/2017,AFN, -   ,AFN,228.95,-228.95
8868,21,Demand,12/6/2014,Khairkhana; Kabul,Urban,Kabul,M,6/18/2017,AFN,37.27,AFN,37.27,0
9342,21,Demand,10/2/2014,Khairkhana; Kabul,Urban,Kabul,M,6/15/2017,AFN,4.8,AFN,4.8,0
9574,21,Demand,10/2/2014,Khairkhana; Kabul,Urban,Kabul,M,6/18/2017,AFN,8.94,AFN, -   ,8.94
9943,21,Demand,10/18/2014,Khairkhana; Kabul,Urban,Kabul,F,6/24/2017,AFN, -   ,AFN, -   ,0
10456,21,Demand,12/14/2014,Khairkhana; Kabul,Urban,Kabul,F,6/19/2017,AFN,3.01,AFN,3.01,0
10524,21,Demand,10/30/2014,Khairkhana; Kabul,Urban,Kabul,F,6/18/2017,AFN,7.98,AFN,7.98,0
10525,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/18/2017,AFN,54.29,AFN,54.29,0
10600,21,Demand,12/29/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,15.2,AFN,15.2,0
10653,21,Demand,12/11/2014,Khairkhana; Kabul,Urban,Kabul,F,4/12/2017,AFN,128.69,AFN,128.69,0
10656,21,Demand,11/13/2014,Khairkhana; Kabul,Urban,Kabul,M,5/21/2017,AFN,35,AFN,35,0
10692,21,Demand,9/14/2014,Khairkhana; Kabul,Urban,Kabul,M,6/19/2017,AFN,12.85,AFN,12.85,0
10725,21,Demand,10/2/2014,Khairkhana; Kabul,Urban,Kabul,M,3/8/2017,AFN, -   ,AFN, -   ,0
10728,21,Demand,11/30/2014,Khairkhana; Kabul,Urban,Kabul,F,6/24/2017,AFN,9582,AFN,9582,0
10821,21,Demand,10/16/2014,Khairkhana; Kabul,Urban,Kabul,F,6/18/2017,AFN,0.8,AFN, -   ,0.8
10920,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,F,1/2/2017,AFN, -   ,AFN, -   ,0
10949,21,Demand,10/27/2014,Khairkhana; Kabul,Urban,Kabul,M,6/5/2017,AFN,45.26,AFN,45.26,0
10988,21,Demand,9/15/2014,Khairkhana; Kabul,Urban,Kabul,M,6/28/2017,AFN,24089,AFN,24089,0
11125,21,Demand,9/17/2014,Khairkhana; Kabul,Urban,Kabul,M,2/2/2017,AFN,4.37,AFN,4.37,0
11203,21,Demand,11/13/2014,Khairkhana; Kabul,Urban,Kabul,M,6/24/2017,AFN, -   ,AFN, -   ,0
11564,21,Demand,12/23/2014,Khairkhana; Kabul,Urban,Kabul,F,5/7/2017,AFN, -   ,AFN, -   ,0
11727,21,Demand,10/27/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,62,AFN,62,0
11741,21,Demand,10/27/2014,Khairkhana; Kabul,Urban,Kabul,M,6/17/2017,AFN,2.41,AFN,2.41,0
11758,21,Demand,12/11/2014,Khairkhana; Kabul,Urban,Kabul,F,6/1/2017,AFN,60,AFN,60,0
12100,21,Demand,11/13/2014,Khairkhana; Kabul,Urban,Kabul,M,6/8/2017,AFN,0.26,AFN, -   ,0.26
12107,21,Demand,10/23/2014,Khairkhana; Kabul,Urban,Kabul,F,6/20/2017,AFN,6452.37,AFN,6452.37,0
12402,21,Demand,12/23/2014,Khairkhana; Kabul,Urban,Kabul,M,6/5/2017,AFN, -   ,AFN, -   ,0
12417,21,Demand,11/17/2014,Khairkhana; Kabul,Urban,Kabul,M,6/24/2017,AFN,24.78,AFN,24.78,0
12572,21,Demand,11/23/2014,Khairkhana; Kabul,Urban,Kabul,M,5/9/2017,AFN,160,AFN,160,0
12653,21,Demand,12/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/7/2017,AFN,0.33,AFN,0.33,0
12668,21,Demand,10/21/2014,Khairkhana; Kabul,Urban,Kabul,M,6/7/2017,AFN,12.1,AFN,12.1,0
12680,21,Demand,12/21/2014,Khairkhana; Kabul,Urban,Kabul,M,6/11/2017,AFN, -   ,AFN, -   ,0
12785,21,Demand,10/1/2014,Khairkhana; Kabul,Urban,Kabul,M,6/24/2017,AFN,82.49,AFN,82.49,0
12826,21,Demand,12/3/2014,Khairkhana; Kabul,Urban,Kabul,M,6/5/2017,AFN,51,AFN,51,0
12882,21,Demand,10/14/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,8.42,AFN,8.42,0
12930,21,Demand,11/5/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,5.01,AFN,5.01,0
13031,21,Demand,10/12/2014,Khairkhana; Kabul,Urban,Kabul,M,3/11/2017,AFN, -   ,AFN, -   ,0
13151,21,Demand,11/6/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,4.94,AFN,4.94,0
13260,21,Demand,11/9/2014,Khairkhana; Kabul,Urban,Kabul,M,6/29/2017,AFN,19197,AFN,19197,0
13292,21,Demand,10/28/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,57.13,AFN,57.13,0
13366,21,Demand,10/27/2014,Khairkhana; Kabul,Urban,Kabul,M,6/1/2017,AFN,9208.62,AFN,9208.62,0
13545,21,Demand,9/15/2014,Khairkhana; Kabul,Urban,Kabul,M,4/1/2017,AFN,1.11,AFN, -   ,1.11
13553,21,Demand,10/11/2014,Khairkhana; Kabul,Urban,Kabul,M,6/15/2017,AFN,59.68,AFN,59.68,0
13554,21,Demand,9/13/2014,Khairkhana; Kabul,Urban,Kabul,M,6/21/2017,AFN,6.87,AFN,6.87,0
13555,21,Demand,9/13/2014,Khairkhana; Kabul,Urban,Kabul,M,6/21/2017,AFN,225.05,AFN,225.05,0
13567,21,Demand,10/23/2014,Khairkhana; Kabul,Urban,Kabul,M,6/10/2017,AFN,16.16,AFN,16.16,0
13582,21,Demand,10/30/2014,Khairkhana; Kabul,Urban,Kabul,M,6/11/2017,AFN,27.51,AFN,27.51,0
13587,21,Demand,10/2/2014,Khairkhana; Kabul,Urban,Kabul,F,6/15/2017,AFN,5.86,AFN,5.86,0
13603,21,Demand,11/23/2014,Khairkhana; Kabul,Urban,Kabul,M,6/14/2017,AFN,32.06,AFN,32.06,0
13607,21,Demand,11/6/2014,Khairkhana; Kabul,Urban,Kabul,M,6/7/2017,AFN,7.38,AFN,7.38,0
13609,21,Demand,10/22/2014,Khairkhana; Kabul,Urban,Kabul,M,6/21/2017,AFN,2.57,AFN, -   ,2.57
13649,21,Demand,11/4/2014,Khairkhana; Kabul,Urban,Kabul,M,6/15/2017,AFN,7905.32,AFN,7905.32,0
13651,21,Demand,11/19/2014,Khairkhana; Kabul,Urban,Kabul,M,6/19/2017,AFN, -   ,AFN, -   ,0
13656,21,Demand,11/13/2014,Khairkhana; Kabul,Urban,Kabul,M,1/14/2017,AFN,4.22,AFN, -   ,4.22
13694,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,F,6/13/2017,AFN,1046.94,AFN,1046.94,0
13703,21,Demand,11/18/2014,Khairkhana; Kabul,Urban,Kabul,M,6/11/2017,AFN,100.84,AFN,100.84,0
13719,21,Demand,11/23/2014,Khairkhana; Kabul,Urban,Kabul,M,1/5/2017,AFN,10,AFN, -   ,10
13727,21,Demand,11/22/2014,Khairkhana; Kabul,Urban,Kabul,F,6/20/2017,AFN,8.58,AFN,8.58,0
13728,21,Demand,11/23/2014,Khairkhana; Kabul,Urban,Kabul,M,6/24/2017,AFN,3866,AFN,3866,0
13745,21,Demand,12/11/2014,Khairkhana; Kabul,Urban,Kabul,M,3/12/2017,AFN, -   ,EUR, -   ,0
13746,21,Demand,12/8/2014,Khairkhana; Kabul,Urban,Kabul,M,6/7/2017,AFN,11,AFN,11,0
13749,21,Demand,11/30/2014,Khairkhana; Kabul,Urban,Kabul,F,2/11/2017,AFN,8.44,AFN,8.44,0
13761,21,Demand,12/8/2014,Khairkhana; Kabul,Urban,Kabul,M,1/19/2017,AFN, -   ,AFN,30,-30
13764,21,Demand,12/11/2014,Khairkhana; Kabul,Urban,Kabul,M,6/19/2017,AFN,12.17,AFN,12.17,0
13767,21,Demand,12/8/2014,Khairkhana; Kabul,Urban,Kabul,F,6/10/2017,AFN, -   ,AFN, -   ,0
13778,21,Demand,12/17/2014,Khairkhana; Kabul,Urban,Kabul,F,6/21/2017,AFN,15.22,AFN,15.22,0
100035,21,Demand,11/20/2014,Kishim,Rural,Badakhshan,M,6/6/2017,AFN,5255.1,AFN, -   ,5255.1
100058,21,Demand,12/9/2014,Kishim,Rural,Badakhshan,M,6/15/2017,AFN,118.05,AFN,118.05,0
100081,21,Demand,11/9/2014,Kishim,Rural,Badakhshan,M,6/17/2017,AFN,234.85,AFN,234.85,0
100111,21,Demand,9/25/2014,Kishim,Rural,Badakhshan,M,6/19/2017,AFN, -   ,AFN, -   ,0
100146,21,Demand,11/30/2014,Kishim,Rural,Badakhshan,M,6/24/2017,AFN,287.38,AFN,287.38,0
100183,21,Demand,9/25/2014,Kishim,Rural,Badakhshan,M,6/3/2017,AFN,15.49,AFN,15.49,0
100269,21,Demand,12/22/2014,Kishim,Rural,Badakhshan,M,6/13/2017,AFN,11,AFN,11,0
100290,21,Demand,11/18/2014,Kishim,Rural,Badakhshan,M,6/15/2017,AFN,7.81,AFN,7.81,0
100312,21,Demand,12/4/2014,Kishim,Rural,Badakhshan,M,6/21/2017,AFN,7.32,AFN, -   ,7.32
100341,21,Demand,11/13/2014,Kishim,Rural,Badakhshan,M,6/17/2017,AFN,5.24,AFN,5.24,0
100359,21,Demand,11/25/2014,Kishim,Rural,Badakhshan,M,5/2/2017,AFN,17.81,AFN,17.81,0
100369,21,Demand,12/4/2014,Kishim,Rural,Badakhshan,M,6/12/2017,AFN,9.79,AFN,9.79,0
100377,21,Demand,12/16/2014,Kishim,Rural,Badakhshan,M,6/22/2017,AFN, -   ,AFN, -   ,0
100411,21,Demand,12/22/2014,Kishim,Rural,Badakhshan,M,6/29/2017,AFN,10583.56,AFN,10583.56,0
100431,21,Demand,10/23/2014,Kishim,Rural,Badakhshan,M,6/3/2017,AFN,3.78,AFN, -   ,3.78
100442,21,Demand,9/15/2014,Kishim,Rural,Badakhshan,M,6/22/2017,AFN,1000.67,AFN,1000.67,0
100457,21,Demand,12/10/2009,Kishim,Rural,Badakhshan,0,6/21/2017,AFN,252171,AFN,252171,0
100494,21,Demand,12/20/2014,Kishim,Rural,Badakhshan,M,6/5/2017,AFN,2.82,AFN,2.82,0
100529,21,Demand,12/22/2014,Kishim,Rural,Badakhshan,M,6/4/2017,AFN,0.81,AFN,0.81,0
100551,21,Demand,11/22/2014,Kishim,Rural,Badakhshan,M,3/5/2017,AFN,6,AFN,6,0
